id,name,description,zip_code,neighborhood,latitude,longitude,property_type,room_type,n_accommodates,n_bathrooms,n_bedrooms,n_beds,amenities,price,minimum_nights,maximum_nights,availability_365,n_reviews,first_review,last_review,n_reviews_per_month,score_rating,score_cleanliness,score_location,score_value,host_id,host_name,host_is_superhost,host_n_listings,url_listing,url_picture
l_48867583,Close to UT Austin + Rooftop Pool. Bar. Dining.,"Stay in the heart of Austin’s music district at Hotel Indigo Downtown – University. Just steps from Stubb’s BBQ, 6th Street, and Red River’s iconic venues, this vibrant stay features a rooftop pool, lively bar, and modern rooms with city views. Walk to UT, grab tacos nearby, and catch a live show without ever needing a car. With free Wi-Fi, a 24/7 gym, and bold local style, this stay puts you close to the action with just the right amount of chill.",78701,Downtown,30.26869,-97.73756,Room in hotel,Private room,2,1.0,1.0,1.0,Refrigerator;Air conditioning;Iron;Shampoo;TV;Body soap;Paid parking off premises;Host greets you;Coffee maker;Essentials;Pool;Heating;Dedicated workspace;Smoke alarm;Wifi;Hair dryer;Elevator;Gym;Pets allowed;Safe;Bed linens,208.0,1.0,365.0,157,1382,2021-04-05,2026-06-20,21.75,4.75,4.86,4.75,4.67,h_386381014,Indigo Austin,f,3,https://www.airbnb.com/rooms/48867583,https://a0.muscache.com/pictures/prohost-api/Hosting-48867583/original/47b7aa23-d4c3-4724-9a04-b72406bcefa0.png
l_642763279007300879,Private East Austin guest suite w pool access,"Private one bedroom, one bathroom suite with a private entrance in a home. It is fully sectioned off with no shared space. Access to the HOA swimming pool (open seasonally) included, as well as a nice walking trail, both a 5 minute walk from the house. <br /><br />Convenient east side location; new bar 3 mins away, ~10 mins to east side restaurants and bars, 15 mins to east 6th, 5 mins  from Walter E Long Lake, 18 mins to downtown Austin, and 12 mins from the airport.",78724,East Austin,30.27748,-97.63322,Entire home,Entire home/apt,3,1.0,1.0,2.0,"Refrigerator;Shampoo;Central air conditioning;Ceiling fan;Carbon monoxide alarm;Room-darkening shades;Coffee maker: french press;TV;Shared outdoor pool - available seasonally, open specific hours, lap pool;Private entrance;Bathtub;Keypad;Body soap;Wine glasses;Single level home;Long term stays allowed;Free street parking;Dishes and silverware;Cleaning products;Essentials;Hot water kettle;Mini fridge;Outdoor playground;Hot water;Freezer;Central heating;Conditioner;Dedicated workspace;Microwave;Cleaning available during stay;Kitchenette;Luggage dropoff allowed;Extra pillows and blankets;Self check-in;Smoke alarm;Wifi;Free parking on premises;Hair dryer;Shower gel;Pets allowed;Coffee;Fire extinguisher;Clothing storage: closet;Hangers;Bed linens",114.5,2.0,365.0,355,88,2022-06-19,2026-05-17,1.8,4.81,4.82,4.76,4.8,h_191130333,Cheyane,t,1,https://www.airbnb.com/rooms/642763279007300879,https://a0.muscache.com/pictures/airflow/Hosting-642763279007300879/original/7663538c-0c10-437f-bed2-59cc60c2cd2b.jpg
l_700669261299122407,"Luxury condo w/Balcony, Rooftop Pool, Rainey St","Looking for a place to crash while in Austin? Whatever is drawing you to downtown ATX, we're here to make your experience everything and more! <br />Steps away from Lady Bird Lake with trails for jogging, vendors to rent a paddle board, Rainey Street for bar-hopping, live music & food trucks. Congress Avenue Bridge for bat watching, Texas Capitol, Convention Center. <br />Beautiful views, clean rooms & an extremely responsive host will make you feel right at home.",78701,Downtown,30.2564542,-97.738827,Entire condo,Entire home/apt,4,,1.0,2.0,"Shampoo;Room-darkening shades;Standalone high chair - available upon request;Blender;Outdoor dining area;Long term stays allowed;Private patio or balcony;Cleaning products;Hot water kettle;Paid street parking off premises;Shared outdoor pool - available all year, open specific hours, heated, rooftop;Board games;Shared gym in building;Wifi;Paid valet parking on premises;Shower gel;Kitchen;Clothing storage: closet;Dining table;Toaster;Carbon monoxide alarm;Trash compactor;Children’s dinnerware;Dishes and silverware;Exterior security cameras on property;Essentials;Hot water;Central heating;Building staff;Dedicated workspace;First aid kit;Microwave;Extra pillows and blankets;Fire pit;Coffee;Fire extinguisher;Waterfront;Hangers;Drying rack for clothing;Iron;Central air conditioning;Laundromat nearby;Children’s books and toys;Bathtub;Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat;Free street parking;Electric stove;Outlet covers;Freezer;Free resort access;55 inch HDTV with standard cable;BOSCH refrigerator;City skyline view;River view;Luggage dropoff allowed;Smoke alarm;Pack ’n play/Travel crib - available upon request;Hair dryer;Elevator;Free dryer – In unit;Single oven;Bed linens;Cooking basics;EV charger;Dove body soap;Private entrance;Free washer – In unit;Wine glasses;Ping pong table;Dishwasher;Outdoor furniture;Beach essentials;Coffee maker: drip coffee maker, Nespresso;Sun loungers;Lake access;Housekeeping - available at extra cost;Conditioner;Self check-in;Lake view;Bluetooth sound system;Single level home",212.5,2.0,1125.0,61,149,2022-09-11,2026-06-21,3.23,4.96,4.96,4.96,4.91,h_244121753,Nils,t,6,https://www.airbnb.com/rooms/700669261299122407,https://a0.muscache.com/pictures/miso/Hosting-700669261299122407/original/f57e87f8-5375-4757-984d-4ef9077ccacb.jpeg
l_1690760048869752293,Skyline in Hyde ~Two Rooftop Terraces~ Pool+Spa,"Luxury Hyde Park retreat minutes from Downtown Austin & UT! This 5BR designer home sleeps 16 and delivers rare resort-style amenities in one of Austin’s most iconic neighborhoods.<br /><br />~ Private lap pool + XL spa<br />~ Two Rooftop Terraces w/ turf<br />~ Ping pong, arcade games + cornhole<br />~ Fireplace + multiple outdoor lounges<br />~ Walk to restaurants, coffee shops + Hyde Park charm<br />~ Curated luxury design + premium appliances<br /><br />We have over 5000, 5-star reviews. Come find out why!",78751,Hyde Park,30.3050881,-97.7197996,Entire home,Entire home/apt,16,3.5,5.0,11.0,Crib;Bathtub;Long term stays allowed,1036.29,1.0,1125.0,354,1,2026-05-24,2026-05-24,1.0,5.0,5.0,5.0,5.0,h_67108209,Lucas & Nickol,t,18,https://www.airbnb.com/rooms/1690760048869752293,https://a0.muscache.com/pictures/hosting/Hosting-1690760048869752293/original/b59452bf-ce96-4cc4-a305-3680f53700f4.jpeg
l_1585158603372219595,Modern Private Room & Bath | 10 Min to Airport,"Welcome to your comfortable and stylish home base in East Austin! This listing offers a private bedroom and private bathroom within a modern apartment, thoughtfully designed for relaxation and convenience. The apartment is a shared space with one respectful, quiet tenant.<br /><br />Perfect for travelers, professionals, or short stays, you’ll be just 15 minutes from Downtown Austin and 10 minutes from Austin Bergstrom International Airport, making it easy to explore the city or catch a flight.",78724,East Austin,30.277885552701896,-97.63422140954972,Private room in rental unit,Private room,2,1.0,1.0,1.0,Air conditioning;Shampoo;Carbon monoxide alarm;Private entrance;Bathtub;Lockbox;Body soap;Exterior security cameras on property;Essentials;Hot water;Pool;Heating;Conditioner;Dedicated workspace;Self check-in;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Washer;Kitchen;Bed linens,74.18,1.0,365.0,168,8,2026-02-16,2026-06-19,1.88,4.63,4.71,4.43,4.29,h_493031584,Andriana,f,1,https://www.airbnb.com/rooms/1585158603372219595,https://a0.muscache.com/pictures/hosting/Hosting-1585158603372219595/original/7c2ea04e-39ad-4e4d-9661-31faf8da4246.jpeg
l_874172056663233580,Heated Rooftop Pool | Free Parking! | Skyline View,"Welcome to Austin's newest luxury DT complex, 48th East. Known for its state-of-the-art amenities and the best location in town (Rainey Street), come be blown away by the views from 24th floor balcony! <br /><br />Features Include:<br />~ 10’ ceilings & floor-to-ceiling windows, enjoy the view from bed!<br />~ Free 1 Night Valet Parking<br />~ Luxury condo overlooking Lady Bird Lake & DT Skyline<br />~ Resort-style rooftop pool w/ pool-side cabanas & loungers<br />~ Coffee bar/co-working space<br />~ Fitness center",78701,Downtown,30.25646,-97.73884,Entire condo,Entire home/apt,3,1.0,1.0,2.0,Refrigerator;Dining table;Air conditioning;Drying rack for clothing;Iron;Toaster;Shampoo;Carbon monoxide alarm;Ceiling fan;Portable fans;TV;Blender;Body soap;Movie theater;Wine glasses;Long term stays allowed;Paid parking on premises;Smart lock;Free street parking;Dishes and silverware;Paid parking off premises;Shared pool - heated;Exterior security cameras on property;Cleaning products;Essentials;Hot water kettle;Coffee maker;Rice maker;Freezer;Hot water;Board games;Clothing storage;Baking sheet;Dryer;Heating;Pool view;Conditioner;Dedicated workspace;First aid kit;Microwave;City skyline view;Self check-in;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Patio or balcony;Washer;Hair dryer;Shower gel;Stove;Gym;Kitchen;Coffee;Fire extinguisher;Hangers;Bed linens,264.92,1.0,1125.0,362,197,2023-04-30,2026-05-25,5.13,4.94,4.94,4.93,4.81,h_139896556,Nickol And Lucas,t,14,https://www.airbnb.com/rooms/874172056663233580,https://a0.muscache.com/pictures/prohost-api/Hosting-874172056663233580/original/fcad8362-7c7a-4260-bb0c-a339326061a0.jpeg
l_1561640752414299136,Steps From Campus & Red River Spots,"Looking for a place close to UT Austin? This private room offers the perfect setup for students and young professionals. Fully furnished, quiet, and located right on Red River Street, you’ll be minutes away from classes, coffee shops, study spots, and public transport. Shared areas are clean and friendly, making it a comfortable and social place to stay.",78705,University of Texas,30.2928641,-97.7252062,Private room in rental unit,Private room,1,1.0,1.0,1.0,Smoke alarm;Wifi;Air conditioning;Pool;Exercise equipment;Outdoor dining area;Outdoor shower;Washer;Carbon monoxide alarm;TV;First aid kit;Kitchen;Hot water;Fire extinguisher,36.03,30.0,180.0,89,0,,,,,,,,h_695154741,Timur,f,20,https://www.airbnb.com/rooms/1561640752414299136,https://a0.muscache.com/pictures/hosting/Hosting-1561640752414299136/original/47643169-fc19-4b83-ae47-cf0edea790db.jpeg
l_52444720,EZ Camp7 at CampEZ in SxSouth Austin TX,"Creek-side private and safe camping hideaway available.<br />This is a CAMPGROUND: NO RV, ROOM, BED, INVOLVED - BRING A TENT & GEAR FOR COMFORT (check my other listings for an RV stay). This a ""want to camp"" campground. If you ""need to camp"" due to financial or other reasons, Camp EZ will likely not be a good fit for you. NOT SUITABLE FOR VERY YOUNG CHILDREN . PLEASE INCLUDE YOUR CHILD IN YOUR COUNT. Campfires in designated area only with permission (burn ban). Bring firewood.",78745,South Austin,30.21033,-97.77161,Campsite,Entire home/apt,16,2.0,1.0,,Refrigerator;Wifi;Fire pit;Outdoor dining area;BBQ grill;Free street parking;Indoor fireplace;Cooking basics;Dishes and silverware;Outdoor furniture;Hammock;Coffee maker;Outdoor kitchen;Kitchen,27.5,2.0,7.0,90,33,2021-11-01,2025-05-05,0.58,4.88,4.82,5.0,4.94,h_1568741,James,t,22,https://www.airbnb.com/rooms/52444720,https://a0.muscache.com/pictures/14460691/c93eba3e_original.jpg
l_711100790609865421,"Stylish Scandinavian house, 10min from downtown!","Enjoy a stylish experience at this centrally-located place,  just 10min from downtown, Zilker park and airport! <br /><br />It’s a single story house with 2 large bedrooms and 2 bathrooms with a very spacious kitchen+ living room perfect for hangout.<br /><br />Both bedrooms have a queen size bed and desk area.<br /><br />Enjoy one of the four outdoor spaces: entry courtyard with a coffee, master courtyard for an afternoon nap, front yard when using the large Weber grill or the kitchen backyard for dining and some darts!",78704,South Austin,30.23106,-97.77305,Entire home,Entire home/apt,6,2.0,2.0,2.0,Refrigerator;BBQ grill;Central air conditioning;Backyard;Outdoor dining area;Private patio or balcony;Dishes and silverware;55 inch HDTV with Netflix;Exterior security cameras on property;Coffee maker;Free dryer – In unit;Dedicated workspace;First aid kit;Smoke alarm;Wifi;Free parking on premises;Fire pit;Washer;Gym;Kitchen;Fire extinguisher,1230.67,3.0,7.0,263,1,2022-10-23,2022-10-23,0.02,5.0,5.0,5.0,5.0,h_340424863,Annika,f,1,https://www.airbnb.com/rooms/711100790609865421,https://a0.muscache.com/pictures/miso/Hosting-711100790609865421/original/c8d5f4c1-332e-431a-9afe-8ce38d3aedb0.jpeg
l_1455784153994389864,Casita Cactus | Near Q2 & Domain | WiFi + Pool,"Step into your own slice of Southwestern charm in this stylish and calming 1BED king suite with a comfy sofa bed. Inspired by desert hues, earthy textures, and Austin’s signature vibrant energy, this retreat blends boho flair with modern comfort — perfect for couples, solo adventurers, or digital nomads seeking a chic and effortless stay.<br /><br />📍 Location Highlights<br />⚽ 5 mins to Q2 Stadium<br />🛍️ 8 mins to The Domain & The Arboretum<br />🌳 10 mins to Mueller Park<br />🏥 10 mins to Seton Northwest Hospital",78727,Northwest Austin,30.43273,-97.74817,Entire home,Entire home/apt,4,1.0,1.0,1.0,Refrigerator;Air conditioning;Drying rack for clothing;Iron;Toaster;Shampoo;Carbon monoxide alarm;Ceiling fan;BBQ grill;Cooking basics;EV charger;Laundromat nearby;TV;Private entrance;Oven;Blender;Backyard;Body soap;Noise decibel monitors on property;Exercise equipment;Wine glasses;Long term stays allowed;Dishwasher;Children’s dinnerware;Dishes and silverware;Coffee maker;Essentials;Pool table;Freezer;Hot water;Board games;Pool;Baking sheet;Arcade games;Dryer;Heating;Conditioner;Dedicated workspace;First aid kit;Microwave;Barbecue utensils;Luggage dropoff allowed;Extra pillows and blankets;Smoke alarm;Wifi;Free parking on premises;Fire pit;Washer;Hair dryer;Hammock;Shower gel;Stove;Gym;Kitchen;Pets allowed;Coffee;Fire extinguisher;Hangers;Bed linens,149.0,2.0,365.0,117,3,2025-09-01,2026-05-18,0.31,5.0,5.0,5.0,5.0,h_452946654,Claudette,f,5,https://www.airbnb.com/rooms/1455784153994389864,https://a0.muscache.com/pictures/miso/Hosting-1455784153994389864/original/97b628a8-79f3-464b-86c3-266860dcbf50.jpeg
l_1418319880903051742,Luxury Lake View 23rd Fl @Rainey Rooftop Pool,"Experience Austin at its best, whether you are here for music, food, outdoors, a quick getaway - or even a business trip. This newly decorated condo is right in Downtown and only a few steps from Lady Bird Lake with scenic walking/biking trails,  and Rainey Street with laid-back vibe during the day, and fun scene with live music at night. <br />Whether you are headed out for a day of exploring or working remotely, this condo is a perfect home away from home.",78701,Downtown,30.2564815,-97.7388538,Entire condo,Entire home/apt,6,2.0,2.0,3.0,"Dining table;Iron;Toaster;Shampoo;Central air conditioning;Carbon monoxide alarm;Room-darkening shades;Cooking basics;EV charger;Children’s books and toys;Fire extinguisher;BOSCH oven;Bathtub;Blender;Body soap;Free washer – In unit;Exercise equipment;Wine glasses;Outdoor dining area;Long term stays allowed;Bosch electric stove;Dishwasher;Children’s dinnerware;Hangers;Dishes and silverware;Private patio or balcony;Exterior security cameras on property;Cleaning products;Essentials;Hot water kettle;Outdoor furniture;Outlet covers;Freezer;Hot water;Sun loungers;Central heating;Shared outdoor pool - available all year, open specific hours, heated, rooftop;Board games;Lake access;Pack ’n play/Travel crib - always at the listing;Housekeeping - available at extra cost;Baking sheet;BOSCH refrigerator;Building staff;Conditioner;Microwave;Luggage dropoff allowed;Extra pillows and blankets;Self check-in;Smoke alarm;Clothing storage: walk-in closet, closet, and dresser;Wifi;High chair;Coffee maker: Keurig coffee machine, Nespresso;Fire pit;Hair dryer;Elevator;Shower gel;Kitchen;Coffee;Free dryer – In unit;TV with standard cable;Bed linens",317.5,2.0,365.0,69,29,2025-08-22,2026-05-17,2.84,5.0,5.0,4.97,4.93,h_653056092,Maelia,t,2,https://www.airbnb.com/rooms/1418319880903051742,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQxODMxOTg4MDkwMzA1MTc0Mg==/original/726fb64f-d548-4677-965a-19109b46ffcc.jpeg
